"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
2,"735 v 753",0.454545454545455,11,5,1,"no","no"," "," "," "
2,"751 v 571",0.333333333333333,9,3,0.5078,"no","no"," "," "," "
2,"765 v 567",0.454545454545455,11,5,1,"no","no"," "," "," "
2,"782 v 382",0.5,6,3,1,"no","no"," "," "," "
2,"794 v 749",0.727272727272727,11,8,0.2266,"no","no"," "," "," "
2,"807 v 78",1,3,3,0.25,"no","no"," "," "," "
2,"846 v 836",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
2,"851 v 854",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
2,"874 v 875",1,6,6,0.0313,"yes","no","*"," ","*"
2,"891 v 89",0.846153846153846,13,11,0.0225,"yes","no","*"," ","*"
2,"899 v 988",0.666666666666667,9,6,0.5078,"no","no"," "," "," "
2,"945 v 942",1,6,6,0.0313,"yes","no","*"," ","*"
2,"974 v 174",0.333333333333333,6,2,0.6875,"no","no"," "," "," "
2,"984 v 894",0.727272727272727,11,8,0.2266,"no","no"," "," "," "
3,"100 v 10",0.926829268292683,82,76,0,"yes","no","*"," ","*"
3,"101 v 99",0.666666666666667,21,14,0.1892,"no","no"," "," "," "
3,"1010 v 101",0.91304347826087,23,21,1e-04,"yes","no","*"," ","*"
3,"11 v 19",0.857142857142857,21,18,0.0015,"yes","no","*"," ","*"
3,"11 v 24",0.541666666666667,24,13,0.8388,"no","no"," "," "," "
3,"123 v 321",0.670731707317073,82,55,0.0026,"yes","no","*"," ","*"
3,"124 v 184",1,6,6,0.0313,"yes","no","*"," ","*"
3,"132 v 231",0.5,4,2,1,"no","no"," "," "," "
3,"14 v 41",0.476190476190476,21,10,1,"no","no"," "," "," "
3,"15 v 105",0.958333333333333,24,23,0,"yes","no","*"," ","*"
3,"16 v 62",0.795454545454545,44,35,1e-04,"yes","no","*"," ","*"
3,"18 v 81",0.736842105263158,38,28,0.0051,"yes","no","*"," ","*"
3,"2 v 8",0.815789473684211,38,31,1e-04,"yes","no","*"," ","*"
3,"201 v 21",0.875,24,21,3e-04,"yes","no","*"," ","*"
3,"206 v 260",0.5,24,12,1,"no","no"," "," "," "
3,"223 v 220",0.731707317073171,82,60,0,"yes","no","*"," ","*"
3,"2395 v 2315",0.91304347826087,23,21,1e-04,"yes","no","*"," ","*"
3,"241 v 421",0.75,4,3,0.625,"no","no"," "," "," "
3,"256 v 526",0.75,4,3,0.625,"no","no"," "," "," "
3,"26 v 73",0.840909090909091,44,37,0,"yes","no","*"," ","*"
3,"261 v 162",0.75,4,3,0.625,"no","no"," "," "," "
3,"273 v 237",0.75,4,3,0.625,"no","no"," "," "," "
3,"273 v 873",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
3,"274 v 234",0.333333333333333,6,2,0.6875,"no","no"," "," "," "
3,"274 v 273",0.5,6,3,1,"no","no"," "," "," "
3,"278 v 578",1,6,6,0.0313,"yes","no","*"," ","*"
3,"285 v 258",0.25,4,1,0.625,"no","no"," "," "," "
